net,length_um
clknet_0_sys_clk,184.72µm
net23,163.1µm
net27,148.41µm
clknet_3_1__leaf_sys_clk,139.96µm
net34,123.82µm
clknet_3_7__leaf_sys_clk,122.86µm
clknet_3_0__leaf_sys_clk,114.48µm
net45,113.93µm
clknet_3_3__leaf_sys_clk,112.86µm
net25,111.8µm
_219_,111.36µm
_189_,111.04µm
net39,109.6µm
net62,109.52µm
net33,108.92µm
clknet_3_4__leaf_sys_clk,108.08µm
net26,107.65µm
net63,107.35µm
clknet_3_5__leaf_sys_clk,106.58µm
net47,105.41µm
net28,104.42µm
net59,103.68µm
net53,102.24µm
net24,102.18µm
sys_clk,102.06µm
net30,100.715µm
net4,100.61µm
u_spi.pay\[0\],98.82µm
net29,97.46µm
net64,96.96µm
net48,96.64µm
clknet_3_2__leaf_sys_clk,94.055µm
net43,92.66µm
net32,92.26µm
net51,91.6µm
net21,91.58µm
net46,91.36µm
net19,89.5µm
_154_,88.1µm
net60,87.79µm
clknet_3_6__leaf_sys_clk,87.72µm
net37,87.12µm
net54,84.59µm
_157_,84.4µm
net55,84.34µm
net42,82.9µm
_190_,82.86µm
net20,81.18µm
net40,79.39µm
net49,79.24µm
net57,76.01µm
net41,75.95µm
net36,75.6µm
net31,75.22µm
net58,74.06µm
u_controller.reset_,67.42µm
net38,65.32µm
net44,65.12µm
u_spi.pay\[1\],64.72µm
_158_,62.68µm
net35,61.58µm
_224_,60.62µm
eoc_flag,60.18µm
u_spi.pay\[3\],59.84µm
bit_en,59.78µm
_178_,58.94µm
_155_,57.76µm
bit_clk_sel,56.69µm
u_controller.state\[0\],56.38µm
u_spi.state\[1\],56.24µm
_218_,55.8µm
_259_,55.62µm
u_spi.data_reg\[10\],55.38µm
net56,55.31µm
bit_auto,55.1µm
net50,54.88µm
_280_,54.62µm
net61,54.15µm
_134_,52.7µm
u_spi.pay\[2\],52.04µm
u_controller.state\[1\],51.315µm
_177_,51µm
_149_,50.84µm
u_spi.data_reg\[11\],50.78µm
_256_,50.56µm
_253_,50.54µm
_217_,48.6µm
net52,48.46µm
_150_,47.56µm
_151_,45.18µm
u_spi.data_reg\[1\],45.02µm
_263_,43.88µm
