net,length_um
u_spi.data_reg\[8\],43.64µm
miso,43.34µm
u_controller.counter_reg\[4\],43µm
u_spi.state\[0\],42.94µm
_223_,42.24µm
net2,41.28µm
u_controller.counter_reg\[7\],40.72µm
_244_,40.2µm
_135_,38.9µm
_152_,38.34µm
_188_,37.09µm
bit_int_en,37.02µm
_247_,36.31µm
u_spi.pay\[8\],36.12µm
_250_,35.82µm
u_spi.cmd\[1\],35.72µm
clk_cnt\[5\],35.58µm
u_controller.counter_reg\[3\],35.56µm
u_spi.bit_cnt\[0\],35.38µm
u_spi.data_reg\[5\],35.04µm
u_spi.data_reg\[0\],34.44µm
u_controller.counter_reg\[2\],34.22µm
u_spi.data_reg\[9\],34.2µm
_202_,33.54µm
_216_,31.7µm
u_spi.data_reg\[4\],31.7µm
_168_,31.04µm
u_controller.counter_reg\[10\],30.62µm
ctrl_reg\[5\],30.38µm
u_controller.counter_reg\[11\],29.58µm
u_spi.pay\[5\],29.46µm
u_controller.counter_reg\[8\],28.98µm
adc_data_out\[11\],28.96µm
_235_,28.8µm
u_spi.pay\[7\],27.44µm
u_controller.counter_reg\[1\],27.42µm
u_spi.data_reg\[2\],27.3µm
adc_data_out\[9\],26.96µm
adc_data_out\[1\],26.94µm
u_spi.pay\[4\],26.8µm
u_controller.counter_reg\[9\],26.66µm
_275_,25.78µm
u_spi.pay\[11\],25.65µm
u_spi.bit_cnt\[1\],25.58µm
_279_,25.02µm
u_controller.dac_reg\[3\],24.87µm
u_spi.cmd\[0\],24.68µm
clk_cnt\[4\],24.56µm
_274_,24.24µm
_187_,24.16µm
u_controller.dac_reg\[8\],23.9µm
u_controller.counter_reg\[5\],23.84µm
net18,23.54µm
u_controller.dac_reg\[1\],23.5µm
_271_,23.48µm
u_controller.counter_reg\[0\],23.04µm
net1,22.78µm
u_spi.pay\[9\],22.52µm
u_controller.dac_reg\[10\],22.42µm
start_clear_req,22.3µm
_175_,22.26µm
u_controller.dac_reg\[11\],22.22µm
_136_,22.12µm
u_controller.dac_reg\[0\],21.7µm
_264_,21.54µm
clk_cnt\[0\],21.46µm
u_controller.dac_reg\[2\],21.28µm
adc_data_out\[8\],21.26µm
u_spi.pay\[10\],21.06µm
_186_,20.84µm
u_controller.dac_reg\[9\],20.8µm
u_spi.pay\[6\],20.14µm
u_controller.dac_reg\[5\],20.04µm
_198_,19.92µm
adc_data_out\[10\],19.44µm
_241_,19.42µm
u_controller.dac_reg\[6\],18.98µm
adc_data_out\[7\],18.92µm
_269_,18.8µm
_183_,18.76µm
u_spi.bit_cnt\[2\],18.76µm
_180_,18.74µm
_268_,18.615µm
u_controller.dac_reg\[7\],18.52µm
_261_,18.48µm
_153_,18µm
_167_,17.7µm
clk_cnt\[1\],17.48µm
u_controller.dac_reg\[4\],17.16µm
bit_start,17.08µm
adc_data_out\[6\],16.9µm
u_spi.addr\[0\],16.8µm
u_controller.counter_reg\[6\],16.62µm
u_spi.addr\[1\],16.48µm
_162_,16.18µm
net3,16.16µm
adc_data_out\[3\],15.8µm
net125,15.8µm
ctrl_reg\[11\],15.5µm
_238_,15.44µm
_215_,15.18µm
clk_cnt\[3\],15.18µm
adc_data_out\[4\],15.02µm
net131,15µm
adc_data_out\[5\],14.98µm
_061_,14.96µm
_172_,14.94µm
_062_,14.86µm
_174_,14.54µm
u_spi.data_reg\[6\],14.46µm
_278_,14.34µm
u_spi.miso_buffer\[11\],14.22µm
_265_,14µm
dac[0],13.93µm
u_spi.bit_cnt\[4\],13.82µm
_191_,13.81µm
_197_,13.74µm
_222_,13.7µm
_277_,13.67µm
adc_data_out\[2\],13.6µm
_239_,13.46µm
_140_,13.4µm
_229_,13.345µm
_270_,12.96µm
u_spi.eoc_sent_high,12.76µm
_272_,12.72µm
net103,12.62µm
_210_,12.54µm
clk_cnt\[16\],12.5µm
_170_,12.44µm
net17,12.16µm
u_spi.miso_buffer\[6\],12.04µm
_226_,11.98µm
_166_,11.92µm
u_spi.bit_cnt\[3\],11.92µm
net16,11.92µm
vref_sel,11.89µm
_276_,11.78µm
_252_,11.74µm
ctrl_reg\[9\],11.72µm
_156_,11.66µm
_185_,11.66µm
_248_,11.62µm
_234_,11.6µm
clk_cnt\[25\],11.48µm
_176_,11.44µm
_273_,11.42µm
_242_,11.38µm
_228_,11.36µm
_033_,11.26µm
_161_,11.12µm
ctrl_reg\[10\],11.12µm
adc_clk_out,11.02µm
_034_,10.98µm
net71,10.92µm
clk_cnt\[20\],10.92µm
adc_data_out\[0\],10.86µm
u_spi.sck_s2,10.81µm
_184_,10.62µm
clk_cnt\[8\],10.46µm
_078_,10.38µm
_072_,10.36µm
net138,10.32µm
clk_cnt\[30\],10.14µm
u_spi.miso_buffer\[8\],10.12µm
sck,10.1µm
_053_,9.98µm
clk_cnt\[2\],9.7µm
mosi,9.64µm
_266_,9.62µm
u_spi.miso_buffer\[1\],9.58µm
_232_,9.54µm
_075_,9.4µm
reset_,9.4µm
net14,9.4µm
_059_,9.365µm
_144_,9.32µm
_230_,9.32µm
net7,9.32µm
u_spi.miso_buffer\[10\],9.24µm
u_spi.miso_buffer\[2\],9.2µm
u_spi.miso_buffer\[0\],9.16µm
ctrl_reg\[7\],9.1µm
_027_,9.06µm
u_spi.sck_s1,9.045µm
_169_,8.98µm
irq,8.96µm
_073_,8.92µm
_243_,8.9µm
net123,8.9µm
_249_,8.88µm
net129,8.82µm
net132,8.8µm
_064_,8.72µm
cs,8.72µm
_083_,8.68µm
net9,8.52µm
net92,8.5µm
_069_,8.48µm
clk_cnt\[12\],8.48µm
u_spi.data_reg\[7\],8.48µm
net115,8.48µm
net87,8.16µm
_052_,8.16µm
_262_,8.16µm
_164_,8µm
_199_,8µm
_139_,7.9µm
_084_,7.86µm
clk_cnt\[24\],7.76µm
u_spi.data_reg\[3\],7.64µm
ctrl_reg\[8\],7.62µm
_143_,7.56µm
net93,7.52µm
_260_,7.5µm
_192_,7.42µm
net85,7.4µm
_214_,7.32µm
net75,7.3µm
_051_,7.3µm
net11,7.18µm
net105,7.18µm
_163_,7.1µm
_207_,7.1µm
net127,6.96µm
clk_cnt\[31\],6.94µm
_012_,6.88µm
adc_en_n,6.87µm
u_spi.miso_buffer\[5\],6.86µm
_090_,6.76µm
_047_,6.72µm
clk_cnt\[6\],6.7µm
_038_,6.6µm
u_spi.miso_buffer\[4\],6.52µm
_227_,6.42µm
u_spi.miso_buffer\[9\],6.4µm
_092_,6.38µm
_209_,6.38µm
dac[4],6.31µm
_089_,6.3µm
_195_,6.3µm
u_spi.miso_buffer\[3\],6.3µm
_159_,6.2µm
_194_,6.2µm
_079_,6.18µm
net13,6.14µm
_236_,6.12µm
net136,6.04µm
net65,5.985µm
_088_,5.92µm
_211_,5.92µm
_281_,5.86µm
_045_,5.84µm
_063_,5.8µm
_141_,5.8µm
_165_,5.8µm
net8,5.8µm
net15,5.8µm
dac[8],5.63µm
_131_,5.56µm
net90,5.46µm
_213_,5.46µm
_221_,5.46µm
_171_,5.44µm
net112,5.4µm
net100,5.38µm
clk_cnt\[13\],5.34µm
net79,5.26µm
clk_cnt\[9\],5.26µm
net133,5.26µm
_258_,5.22µm
comparator,5.17µm
_056_,5.14µm
_103_,5.1µm
_196_,5.06µm
_054_,5.04µm
clk_cnt\[28\],5.04µm
_114_,5µm
net74,4.94µm
_070_,4.94µm
u_spi.eoc_s1,4.94µm
_043_,4.92µm
_115_,4.92µm
_037_,4.88µm
net104,4.88µm
_039_,4.765µm
net10,4.76µm
clk_cnt\[10\],4.7µm
net84,4.68µm
dac[11],4.61µm
dac[7],4.61µm
dac[9],4.61µm
_087_,4.6µm
_026_,4.58µm
_040_,4.58µm
_076_,4.58µm
_080_,4.58µm
net119,4.58µm
net81,4.54µm
_028_,4.54µm
_077_,4.54µm
_082_,4.54µm
_104_,4.54µm
_120_,4.54µm
_129_,4.54µm
net82,4.48µm
_044_,4.46µm
_057_,4.46µm
_231_,4.46µm
_245_,4.46µm
_173_,4.42µm
net107,4.42µm
net109,4.42µm
dac[1],4.39µm
net80,4.34µm
net137,4.24µm
net72,4.22µm
net106,4.22µm
_225_,4.2µm
clk_cnt\[18\],4.2µm
_208_,4.14µm
_058_,4.12µm
_128_,4.12µm
_118_,4µm
_124_,4µm
_142_,4µm
_160_,4µm
u_spi.miso_buffer\[7\],4µm
net91,4µm
_000_,3.93µm
dac[10],3.93µm
dac[2],3.93µm
dac[3],3.93µm
dac[5],3.93µm
dac[6],3.93µm
dac_rst,3.93µm
pwr_gate,3.93µm
sample_and_hold,3.93µm
_093_,3.88µm
_137_,3.88µm
_254_,3.88µm
net110,3.78µm
net88,3.76µm
_036_,3.66µm
_042_,3.66µm
_102_,3.66µm
net99,3.65µm
_193_,3.56µm
_240_,3.56µm
net134,3.56µm
_001_,3.54µm
net67,3.54µm
_132_,3.54µm
net6,3.54µm
net102,3.54µm
net95,3.44µm
_112_,3.42µm
_126_,3.42µm
_203_,3.42µm
_255_,3.42µm
clk_cnt\[15\],3.42µm
clk_cnt\[21\],3.42µm
net94,3.42µm
_065_,3.2µm
_085_,3.2µm
_099_,3.2µm
_127_,3.2µm
_212_,3.2µm
net86,3.1µm
_048_,3.08µm
_108_,3.08µm
_110_,3.08µm
_147_,3.08µm
_200_,3.08µm
net5,3.08µm
_204_,2.98µm
_257_,2.98µm
_145_,2.96µm
clk_cnt\[17\],2.96µm
net130,2.96µm
_138_,2.86µm
net76,2.84µm
net73,2.84µm
_060_,2.765µm
_097_,2.76µm
net111,2.76µm
net114,2.76µm
_049_,2.74µm
net78,2.665µm
_233_,2.64µm
_237_,2.64µm
_246_,2.64µm
_251_,2.64µm
clk_cnt\[11\],2.64µm
net98,2.64µm
net108,2.64µm
_094_,2.62µm
_133_,2.62µm
adc_ack,2.62µm
net96,2.62µm
net116,2.62µm
net22,2.52µm
net70,2.5µm
net69,2.5µm
_205_,2.5µm
clk_cnt\[7\],2.5µm
clk_cnt\[26\],2.4µm
net118,2.4µm
net83,2.3µm
_081_,2.3µm
_095_,2.3µm
_098_,2.3µm
_201_,2.3µm
net117,2.3µm
_046_,2.28µm
_050_,2.28µm
_055_,2.28µm
_074_,2.28µm
_086_,2.28µm
_096_,2.28µm
_101_,2.28µm
_113_,2.28µm
_116_,2.28µm
u_spi.eoc_s2,2.28µm
net135,2.28µm
_035_,2.18µm
_067_,2.18µm
_109_,2.18µm
_121_,2.18µm
clk_cnt\[19\],2.18µm
clk_cnt\[23\],2.18µm
_071_,2.16µm
_091_,2.16µm
_100_,2.16µm
_105_,2.16µm
_106_,2.16µm
_122_,2.16µm
clk_cnt\[27\],2.16µm
net101,2.16µm
net122,2.16µm
net139,2.16µm
_125_,2.12µm
_107_,2.085µm
_220_,2.06µm
net68,2.04µm
net66,2.04µm
clk_cnt\[22\],1.94µm
_068_,1.845µm
_023_,1.84µm
net113,1.84µm
net120,1.84µm
net121,1.84µm
net124,1.84µm
net126,1.84µm
_066_,1.82µm
_111_,1.82µm
_117_,1.82µm
net77,1.7µm
net89,1.7µm
_041_,1.7µm
_119_,1.7µm
_267_,1.68µm
_130_,1.545µm
_182_,1.38µm
net12,1.38µm
_206_,1.36µm
_146_,1.26µm
_148_,1.26µm
_179_,1.14µm
_181_,1.14µm
_123_,1.08µm
clk_cnt\[29\],0.92µm
net97,0.92µm
clk_cnt\[14\],0.46µm
net128,0.46µm
