net,length_um
clk_cnt\[10\],11.4µm
_217_,11.26µm
_215_,11.12µm
_127_,11.1µm
adc_clk_out,11.02µm
clk_cnt\[24\],10.94µm
net103,10.9µm
u_spi.eoc_sent_high,10.74µm
u_spi.eoc_s1,10.57µm
adc_en_n,10.35µm
clk_cnt\[29\],9.92µm
ctrl_reg\[5\],9.86µm
u_spi.miso_buffer\[5\],9.74µm
_159_,9.66µm
sck,9.64µm
net16,9.54µm
clk_cnt\[22\],9.5µm
reset_,9.4µm
net76,9.24µm
_237_,9.18µm
mosi,9.18µm
net86,9.08µm
net13,8.98µm
irq,8.96µm
net9,8.86µm
net12,8.86µm
u_spi.miso_buffer\[4\],8.82µm
net79,8.76µm
_202_,8.74µm
u_spi.miso_buffer\[0\],8.74µm
cs,8.72µm
_265_,8.66µm
_012_,8.62µm
net102,8.62µm
_162_,8.6µm
net135,8.52µm
net73,8.28µm
_055_,8.22µm
_117_,8.22µm
_264_,8.2µm
_241_,8.14µm
net130,8.14µm
_056_,8.1µm
_118_,8.02µm
_170_,7.94µm
net7,7.94µm
_259_,7.9µm
_140_,7.88µm
net123,7.88µm
u_spi.miso_buffer\[10\],7.86µm
_123_,7.8µm
_139_,7.8µm
_274_,7.8µm
_231_,7.74µm
net11,7.7µm
_035_,7.64µm
_067_,7.64µm
net78,7.52µm
net99,7.52µm
_269_,7.44µm
net6,7.44µm
u_spi.miso_buffer\[3\],7.22µm
net100,7.22µm
net128,7.22µm
_144_,7.2µm
net87,7.14µm
clk_cnt\[18\],7.1µm
u_spi.miso_buffer\[1\],6.98µm
u_spi.miso_buffer\[7\],6.98µm
_064_,6.94µm
_174_,6.82µm
_187_,6.82µm
_114_,6.76µm
_132_,6.76µm
_186_,6.76µm
clk_cnt\[9\],6.72µm
_180_,6.66µm
_209_,6.64µm
_225_,6.6µm
_183_,6.4µm
net75,6.38µm
_070_,6.38µm
net112,6.32µm
net110,6.3µm
_196_,6.28µm
_080_,6.26µm
_222_,6.2µm
_267_,6.2µm
net71,6.18µm
_147_,6.18µm
_220_,6.18µm
net98,6.18µm
clk_cnt\[23\],6.14µm
_228_,6.06µm
_053_,6.02µm
_109_,5.96µm
_200_,5.96µm
u_spi.miso_buffer\[6\],5.94µm
net126,5.92µm
_254_,5.86µm
_040_,5.8µm
_234_,5.74µm
_240_,5.74µm
_124_,5.72µm
_143_,5.72µm
net101,5.72µm
_278_,5.68µm
dac[8],5.63µm
_227_,5.6µm
_126_,5.56µm
_216_,5.52µm
_116_,5.5µm
_095_,5.48µm
_175_,5.48µm
_125_,5.46µm
_000_,5.38µm
_104_,5.38µm
_171_,5.38µm
clk_cnt\[27\],5.38µm
u_spi.eoc_s2,5.38µm
_141_,5.34µm
clk_cnt\[13\],5.34µm
net67,5.26µm
_146_,5.26µm
clk_cnt\[17\],5.26µm
clk_cnt\[30\],5.26µm
_158_,5.22µm
_184_,5.2µm
_063_,5.185µm
net125,5.16µm
_099_,5.04µm
_030_,5.025µm
_165_,5.02µm
_182_,5.02µm
_199_,5.02µm
_049_,4.94µm
_212_,4.94µm
_092_,4.88µm
net113,4.88µm
_206_,4.8µm
net10,4.8µm
_179_,4.7µm
_270_,4.68µm
dac[6],4.61µm
dac[9],4.61µm
_029_,4.58µm
_039_,4.58µm
_026_,4.565µm
net85,4.54µm
net65,4.54µm
comparator,4.49µm
_281_,4.48µm
net74,4.46µm
_044_,4.46µm
_045_,4.46µm
_050_,4.46µm
_068_,4.46µm
_111_,4.46µm
clk_cnt\[11\],4.44µm
net136,4.24µm
clk_cnt\[16\],4.2µm
_033_,4.14µm
net90,4.14µm
_037_,4.12µm
_038_,4.12µm
_041_,4.12µm
_110_,4.12µm
clk_cnt\[28\],4.1µm
net137,4.02µm
net84,4µm
_036_,4µm
_103_,4µm
_119_,4µm
_213_,4µm
net121,4µm
dac[10],3.93µm
dac[11],3.93µm
dac[1],3.93µm
dac[2],3.93µm
dac[3],3.93µm
dac[4],3.93µm
dac[5],3.93µm
dac[7],3.93µm
dac_rst,3.93µm
pwr_gate,3.93µm
sample_and_hold,3.93µm
_142_,3.9µm
_154_,3.88µm
_232_,3.88µm
net104,3.845µm
