Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_42_241,VGND,li1,117.0700,125.1200,0.000013
FILLER_42_229,VGND,li1,113.6200,125.1200,0.000013
FILLER_42_223,VGND,li1,108.3300,125.1200,0.000013
FILLER_42_219,VGND,li1,107.1800,125.1200,0.000013
FILLER_42_209,VGND,li1,102.1200,125.1200,0.000013
FILLER_42_197,VGND,li1,98.9000,125.1200,0.000013
FILLER_42_193,VGND,li1,94.9900,125.1200,0.000013
FILLER_42_181,VGND,li1,91.5400,125.1200,0.000013
FILLER_42_169,VGND,li1,86.0200,125.1200,0.000012
FILLER_42_165,VGND,li1,82.1100,125.1200,0.000012
FILLER_42_153,VGND,li1,78.6600,125.1200,0.000012
FILLER_42_141,VGND,li1,73.1400,125.1200,0.000011
FILLER_42_138,VGND,li1,69.4600,125.1200,0.000011
FILLER_42_127,VGND,li1,64.1700,125.1200,0.000011
FILLER_42_123,VGND,li1,63.0200,125.1200,0.000011
FILLER_42_113,VGND,li1,58.4200,125.1200,0.000010
FILLER_42_109,VGND,li1,56.3500,125.1200,0.000010
FILLER_42_97,VGND,li1,52.9000,125.1200,0.000009
FILLER_42_85,VGND,li1,47.3800,125.1200,0.000008
FILLER_42_69,VGND,li1,40.0200,125.1200,0.000007
FILLER_42_57,VGND,li1,34.5000,125.1200,0.000005
FILLER_42_53,VGND,li1,30.5900,125.1200,0.000004
FILLER_42_41,VGND,li1,27.1400,125.1200,0.000003
FILLER_42_29,VGND,li1,21.6200,125.1200,0.000003
FILLER_42_27,VGND,li1,18.1700,125.1200,0.000003
FILLER_42_15,VGND,li1,15.1800,125.1200,0.000003
FILLER_42_3,VGND,li1,9.6600,125.1200,0.000003
FILLER_41_249,VGND,li1,120.7500,125.1200,0.000013
FILLER_41_237,VGND,li1,117.3000,125.1200,0.000013
FILLER_41_225,VGND,li1,111.7800,125.1200,0.000013
FILLER_41_221,VGND,li1,107.8700,125.1200,0.000013
FILLER_41_195,VGND,li1,96.6000,125.1200,0.000013
FILLER_41_183,VGND,li1,92.4600,125.1200,0.000013
